start_s,start_hms,end_s,end_hms,duration_s,participants,label,num_turns
0.0,00:00,3.4,00:03,3.4,"Max, Riad",Max <-> Riad,1
0.0,00:00,2.15,00:02,2.15,"Kush, Max",Kush <-> Max,1
0.01,00:00,3.31,00:03,3.3,"Alicia, Riad",Alicia <-> Riad,2
5.22,00:05,5.42,00:05,0.2,"Alicia, Kush",Alicia <-> Kush,1
6.08,00:06,6.52,00:07,0.44,"Kush, Max",Kush <-> Max,1
6.81,00:07,7.03,00:07,0.22,"Kush, Riad",Kush <-> Riad,1
7.82,00:08,8.24,00:08,0.42,"Alicia, Kush",Alicia <-> Kush,1
7.87,00:08,9.45,00:09,1.58,"Alicia, Kush, Max, Riad","Alicia, Kush, Max, Riad (group)",1
8.39,00:08,8.88,00:09,0.49,"Max, Riad",Max <-> Riad,2
8.6,00:09,9.44,00:09,0.84,"Alicia, Kush, Max, Riad","Alicia, Kush, Max, Riad (group)",1
9.21,00:09,10.2,00:10,0.99,"Alicia, Max, Riad","Alicia, Max, Riad (group)",2
10.09,00:10,10.85,00:11,0.76,"Alicia, Kush",Alicia <-> Kush,2
10.49,00:10,10.87,00:11,0.38,"Max, Riad",Max <-> Riad,2
12.04,00:12,12.34,00:12,0.3,"Alicia, Kush, Max","Alicia, Kush, Max (group)",1
12.6,00:13,12.9,00:13,0.3,"Max, Riad",Max <-> Riad,2
12.87,00:13,13.29,00:13,0.42,"Alicia, Kush",Alicia <-> Kush,2
13.29,00:13,13.81,00:14,0.52,"Max, Riad",Max <-> Riad,2
13.74,00:14,14.02,00:14,0.28,"Alicia, Kush",Alicia <-> Kush,2
14.11,00:14,15.01,00:15,0.9,"Max, Riad",Max <-> Riad,3
16.29,00:16,20.45,00:20,4.16,"Alicia, Kush, Max, Riad","Alicia, Kush, Max, Riad (group)",2
17.12,00:17,20.77,00:21,3.65,"Alicia, Kush",Alicia <-> Kush,3
18.69,00:19,19.33,00:19,0.64,"Max, Riad",Max <-> Riad,1
19.51,00:20,20.37,00:20,0.86,"Alicia, Kush, Max, Riad","Alicia, Kush, Max, Riad (group)",1
20.22,00:20,20.76,00:21,0.54,"Alicia, Kush",Alicia <-> Kush,1
20.58,00:21,21.97,00:22,1.39,"Alicia, Kush, Max, Riad","Alicia, Kush, Max, Riad (group)",2
20.92,00:21,21.45,00:21,0.53,"Alicia, Kush",Alicia <-> Kush,2
21.66,00:22,22.92,00:23,1.26,"Max, Riad",Max <-> Riad,3
22.86,00:23,24.75,00:25,1.89,"Alicia, Kush, Riad","Alicia, Kush, Riad (group)",3
24.29,00:24,25.33,00:25,1.04,"Max, Riad",Max <-> Riad,3
25.34,00:25,27.66,00:28,2.32,"Alicia, Kush, Max, Riad","Alicia, Kush, Max, Riad (group)",1
25.65,00:26,27.02,00:27,1.37,"Max, Riad",Max <-> Riad,2
25.9,00:26,27.6,00:28,1.7,"Alicia, Kush, Max, Riad","Alicia, Kush, Max, Riad (group)",1
27.95,00:28,28.52,00:29,0.57,"Max, Riad",Max <-> Riad,2
28.42,00:28,29.29,00:29,0.87,"Alicia, Kush, Max","Alicia, Kush, Max (group)",3
29.58,00:30,29.86,00:30,0.28,"Max, Riad",Max <-> Riad,2
30.07,00:30,30.32,00:30,0.25,"Alicia, Kush, Max, Riad","Alicia, Kush, Max, Riad (group)",1
30.08,00:30,31.52,00:32,1.44,"Max, Riad",Max <-> Riad,2
31.11,00:31,31.49,00:31,0.38,"Kush, Riad",Kush <-> Riad,1
31.11,00:31,31.5,00:32,0.39,"Alicia, Riad",Alicia <-> Riad,1
31.72,00:32,33.17,00:33,1.45,"Alicia, Kush",Alicia <-> Kush,4
32.8,00:33,33.06,00:33,0.26,"Max, Riad",Max <-> Riad,2
33.37,00:33,33.89,00:34,0.52,"Alicia, Kush",Alicia <-> Kush,2
33.67,00:34,33.89,00:34,0.22,"Alicia, Max",Alicia <-> Max,1
33.81,00:34,34.63,00:35,0.82,"Max, Riad",Max <-> Riad,2
34.3,00:34,36.19,00:36,1.89,"Alicia, Kush, Max, Riad","Alicia, Kush, Max, Riad (group)",1
35.15,00:35,37.06,00:37,1.91,"Max, Riad",Max <-> Riad,3
36.91,00:37,37.37,00:37,0.46,"Alicia, Kush",Alicia <-> Kush,2
37.67,00:38,38.6,00:39,0.93,"Max, Riad",Max <-> Riad,2
37.79,00:38,39.83,00:40,2.04,"Alicia, Kush, Riad","Alicia, Kush, Riad (group)",3
40.19,00:40,40.72,00:41,0.53,"Max, Riad",Max <-> Riad,2
40.67,00:41,43.07,00:43,2.4,"Alicia, Kush, Max, Riad","Alicia, Kush, Max, Riad (group)",2
40.97,00:41,42.1,00:42,1.13,"Max, Riad",Max <-> Riad,2
43.65,00:44,45.09,00:45,1.44,"Alicia, Kush",Alicia <-> Kush,2
43.85,00:44,44.81,00:45,0.96,"Max, Riad",Max <-> Riad,2
46.19,00:46,46.85,00:47,0.66,"Alicia, Kush",Alicia <-> Kush,2
46.82,00:47,47.39,00:47,0.57,"Kush, Max, Riad","Kush, Max, Riad (group)",1
47.41,00:47,48.55,00:49,1.14,"Alicia, Kush",Alicia <-> Kush,1
47.61,00:48,48.32,00:48,0.71,"Max, Riad",Max <-> Riad,1
47.74,00:48,47.97,00:48,0.23,"Alicia, Riad",Alicia <-> Riad,1
48.13,00:48,48.67,00:49,0.54,"Max, Riad",Max <-> Riad,1
48.18,00:48,48.51,00:49,0.33,"Alicia, Max",Alicia <-> Max,1
48.94,00:49,49.59,00:50,0.65,"Alicia, Kush",Alicia <-> Kush,2
50.18,00:50,50.53,00:51,0.35,"Max, Riad",Max <-> Riad,1
