speaker,start_s,end_s,duration_s
Max,0.0,3.4,3.4
Kush,0.0,2.15,2.15
Riad,0.01,4.79,4.78
Alicia,2.04,3.31,1.27
Kush,5.22,5.42,0.2
Kush,6.08,6.52,0.44
Riad,6.81,7.03,0.22
Alicia,7.82,8.24,0.42
Kush,7.87,9.45,1.58
Riad,8.39,8.88,0.49
Max,8.4,8.88,0.48
Alicia,8.6,9.44,0.84
Riad,9.21,9.92,0.71
Max,9.47,10.2,0.73
Alicia,10.09,10.81,0.72
Kush,10.16,10.85,0.69
Max,10.49,11.9,1.41
Riad,10.54,10.87,0.33
Kush,12.04,12.34,0.3
Max,12.6,12.91,0.31
Riad,12.64,12.9,0.26
Kush,12.87,13.33,0.46
Alicia,12.88,13.29,0.41
Max,13.29,13.86,0.57
Riad,13.32,13.81,0.49
Kush,13.74,14.09,0.35
Alicia,13.75,14.02,0.27
Max,14.11,14.6,0.49
Riad,14.12,14.61,0.49
Riad,14.77,15.01,0.24
Max,16.29,18.33,2.04
Riad,16.57,20.45,3.88
Kush,17.12,17.76,0.64
Kush,18.15,20.05,1.9
Alicia,18.34,20.77,2.43
Max,18.69,19.33,0.64
Max,19.51,20.37,0.86
Kush,20.22,20.76,0.54
Max,20.58,21.4,0.82
Riad,20.68,21.97,1.29
Kush,20.92,21.45,0.53
Alicia,20.93,21.45,0.52
Max,21.66,22.25,0.59
Riad,22.41,23.0,0.59
Max,22.47,22.92,0.45
Kush,22.86,24.92,2.06
Alicia,22.87,23.79,0.92
Alicia,23.96,24.75,0.79
Riad,24.29,25.41,1.12
Max,24.4,24.67,0.27
Max,24.87,25.33,0.46
Kush,25.34,27.66,2.32
Riad,25.65,27.7,2.05
Max,25.67,27.02,1.35
Alicia,25.9,27.6,1.7
Max,27.95,28.48,0.53
Riad,27.96,28.52,0.56
Kush,28.42,30.52,2.1
Alicia,28.44,30.39,1.95
Max,29.0,29.29,0.29
Max,29.58,29.9,0.32
Riad,29.59,29.86,0.27
Max,30.07,30.32,0.25
Riad,30.08,31.88,1.8
Max,30.84,31.52,0.68
Kush,31.11,31.49,0.38
Alicia,31.11,31.5,0.39
Alicia,31.72,32.07,0.35
Kush,31.73,32.07,0.34
Alicia,32.23,33.18,0.95
Kush,32.27,33.17,0.9
Max,32.8,33.12,0.32
Riad,32.81,33.06,0.25
Kush,33.37,36.21,2.84
Alicia,33.39,33.89,0.5
Max,33.67,33.89,0.22
